title,genre,description,director,cast
Kilukil Pambaram,Comedy,Anadapadmanabhan is hired by the government as the caretaker of the palace and assets because the legal heirs are murdered and there is a dispute regarding the tenure. He must fight to make sure that the property is safe.,Thulasidas,"['Rajan P. Dev', 'Indrans', 'Janardanan', 'Jayaram']"
Manthramothiram,"Comedy, Drama, Romance","Kumaran, who is from a poor family, and Lakshmi, a rich girl, fall in love with each other. However, when Lakshmi's father learns about their love affair, he tries every possible way to separate them.",Sasi Shankar,"['Dileep', 'Kalabhavan Mani', 'Nedumudi Venu', 'N.F. Varghese']"
Vamsam,null,Add a Plot,Baiju Kottarakkara,"['Mukesh', 'Sreejaya Nair', 'Sukumaran', 'Saikumar']"
The Car,Comedy,Mahadevan wins a new car as a prize which brings him a lot of bad luck.,Rajasenan,"['Jayaram', 'Janardanan', 'Sreelakshmi', 'Kalabhavan Mani']"
Killikurushiyile Kudumba Mela,Family,"A Hindu man falls in love with a Christian woman. He and his friend devise plans to introduce their romantic lives in front of parents, while avoiding problems.",Viji Thampi,"['Jagadish', 'Prem Kumar', 'Janardanan', 'Narendra Prasad']"
Irattakuttikalude Achan,Drama,"Rajeevan, a young man, elopes with a rich woman and leads a happy life. However, tragedy strikes when he gives away one of his newborn babies to a stranger and lies to his wife about it.",Sathyan Anthikad,"['Jayaram', 'Manju Warrier', 'Murali', 'Urmila Unni']"
Adivaram,null,"Appu, a lorry driver, decides to take revenge on Ithaq, a police constable, for ruining his life and decides to plot against Ithaq by pretending to be in love with his daughter.",Jose Thomas,"['Vijayaraghavan', 'Charmila', 'Murali', 'Chitra']"
Mayaponman,Comedy,"Prasanth, a mechanic, and his friend Freddy try to save a girl who they run into, from her extended family who is trying to steal her inherited wealth.",Thulasidas,"['Dileep', 'Mohini', 'Kalabhavan Mani', 'Jagathy Sreekumar']"
Manasam,"Comedy, Drama, Romance","Rajalakshmi, who leads a lonely life, adopts Solomon after he loses his parents in a car accident. Solomon tries to help Rajalakshmi solve several problems that come her way.",C.S. Sudesh,"['Srividya', 'Dileep', 'Kaveri', 'Nedumudi Venu']"
Ullasappoonkattu,Comedy,"Unni (Dileep) tries to help a rich old man (Fernandez)to get a young girl to marry, in exchange for money he needs to pay his family's debt, but ends up falling in love with her.",Vinayan,"['Dileep', 'Kalpana', 'Kalabhavan Mani', 'Meghanadhan']"
Raja Thanthram,null,Add a Plot,Anil Chandra,"['Jagadish', 'Kaveri', 'Innocent Vareed Thekkethala', 'Jagathy Sreekumar']"
Harishyashringan,"Drama, Romance","Arun falls in love with Poornima, his dance teacher who is much elder to him, and wishes to marry her. However, the age difference between them scandalizes his family.",Suresh Unnithan,"['Krishna', 'Bhanupriya', 'Thilakan', 'Nedumudi Venu']"
Bharatheeyam,null,"Sheenaz, a young school boy who is a cadet in the National Cadet Corps, is compelled to hide the whereabouts of his anti-national father. However, things change when an officer befriends him.",Suresh Krishna,"['Suhasini', 'Anusha', 'Alleppey Ashraf', 'Suresh Gopi']"
Nagarapuranam,"Action, Comedy, Drama",Manikuttan comes to the city in search of a job. His life takes a turn when he comes across a group of people who kidnap for a living.,Ambadi Krishnan,"['Jagadish', 'Thilakan', 'Cochin Hanifa', 'Jose Pellissery']"
Suvarna Simhaasanam,Drama,Add a Plot,P.G. Viswambharan,"['Mukesh', 'Ranjitha', 'Suresh Gopi', 'Jagadish']"
Kalyana Unnikal,"Action, Comedy","Two bachelors, since they are unemployed, struggle to make a living for themselves. However, their lives take a turn when they meet an evil businessman.",Jagathy Sreekumar,"['Baiju', 'Mahesh', 'Maathu', 'Innocent Vareed Thekkethala']"
Asuravamsam,Action,A fallout between palayam murugan and his boss swamiji leads to a gang war.,Shaji Kailas,"['Kollam Ajith', 'Augustine', 'Chippy', 'Rajan P. Dev']"
Yuvasakthi,null,"Yuva Shakthi is a 1997 Indian Kannada film, directed by Joe Simon and produced by G K Kutti. The film stars Bob Anthony, Anjum Sait, Arun Pandyan, Mansoor Ali Khan, Srinivasamurthy, Vinaya ...See full summary»",Josymon,"['Babu Antony', 'Anjum Sait']"
The Good Boys,Comedy,Add a Plot,Sunil,"['Jagathy Sreekumar', 'Janardanan', 'Sudheesh', 'Nadirsha']"
Ishtadanam,"Comedy, Romance",Three sons and their wives bring trouble upon themselves owing to the differences they have in sharing their family property.,Ramesh Kumar,"['Jagadish', 'Suma Kanakala', 'Nedumudi Venu', 'K.P.A.C. Lalitha']"
Kalyana Kacheri,"Comedy, Drama","A construction worker, deep in debt, meets a woman while trying to fake a suicide. When there is a raid at the hotel they are in, they pretend to be lovers and invite more trouble.",Anil Chandra,"['Mukesh', 'Shobana', 'Jagathy Sreekumar', 'Baiju']"
Kaliyoonjal,Drama,"Nandagopal raises his epileptic sister, Ammu, after their parents' death. He gets her married to Venu without telling him about her illness but it comes to light soon and creates problems for them.",Anil,"['Babu Pisharadi', 'Mala Aravindan', 'Dileep', 'Meena Ganesh', 'Lakshmi']"
Kudamattom,Romance,"Appukuttan and Gauri meet during a village festival. After some constant fights, they fall in love. But Gauri's brother, Shivan Kutty, has a different plan for her.",Sundardas,"['Abubakkar', 'Mala Aravindan', 'Baburaj', 'Byon']"
Etha Oru Snehagatha,null,"Father Daniel, who is appointed as the junior priest of the town church, tries to unite the warring population of Hindus and Christians in the town.",Captain Raju,"['Vikram', 'Laila', 'Nedumudi Venu']"
Newspaper Boy,"Comedy, Drama, Mystery",Add a Plot,Nisar,"['Mukesh', 'Suma Kanakala', 'Jagathy Sreekumar', 'Kalabhavan Mani']"
Sammanam,null,Add a Plot,Sundardas,"['Manoj K. Jayan', 'Manju Warrier', 'Kalabhavan Mani', 'Mala Aravindan']"
Niyogam,null,"Story about a Velichappad - a mediator between the deity and the devotees, and his life that was caught in the cross-currents of beliefs and dis-beliefs.",Raju Joseph,"['Bobby Kottarakkara', 'Meghanadhan', 'Valsala Menon', 'Mini Nair']"
Siamese Irattakal,null,Add a Plot,Ismail Hassan,"['Maniyanpilla Raju', 'Sainuddin', 'Lalu Alex', 'Rajan P. Dev']"
Manikya Koodaram,null,Add a Plot,George Mannur,"['Ashokan', 'Elias Babu', 'Charmila', 'Bobby Kottarakkara']"
Ekkareyanente Manasam,"Comedy, Drama, Romance","After making money to marry a rich girl, Kuttiraman comes to his native land. However, he ends in trouble when his family plans on using his money to clear their debts.",K.K. Haridas,"['Prem Kumar', 'Mohini', 'Kalabhavan Mani', 'Harisree Ashokan']"
Ranger,null,Add a Plot,K.S. Gopalakrishnan,"['Tiger Prabhakar', 'Devan', 'Anju', 'Ilavarasi']"
Poothumbiyum Poovalanmarum,null,Add a Plot,Francis,"['Prem Kumar', 'Harisree Ashokan', 'Baiju', 'Jagathy Sreekumar']"
Sibiram,null,Add a Plot,T.S. Suresh Babu,"['Rajan P. Dev', 'Manoj K. Jayan', 'Khadeeja', 'Kalabhavan Mani']"
Nee Varuvolam,null,"Hari and Revathi are in love. Before they can get married, Hari needs to marry off his elder sister, but she gets raped and he is unable to find her a suitor for her.",Sibi Malayil,"['Elias Babu', 'Ponnamma Babu', 'Dileep', 'Indrans']"
Vaachalam,"Drama, Romance",Add a Plot,Biju Varkey,"['Gautami', 'Indrans', 'Manoj K. Jayan', 'Salu Koottanad']"
Hitler Brothers,"Comedy, Drama","Nandini has four uncles who care for her like a daughter. As she starts studying in college, she falls in love with a police officer. However, her uncles make it difficult for them to be together.",Sandhya Mohan,"['Prem Kumar', 'Vanitha Vijayakumar', 'Jagathy Sreekumar', 'Mala Aravindan']"
Sankeerthanampole,null,Add a Plot,Jeassy,"['Aliyar', 'Mala Aravindan', 'Baiju', 'Rajan P. Dev']"
Oru Mutham Mani Mutham,Drama,"Balachandran, owing to pressure from his family to produce an heir, marries Lekha. However, he later chooses not to have children until two years later, leading to conflict with his family.",Sajan,"['Lalu Alex', 'Harisree Ashokan', 'Janardanan', 'Thezni Khan']"
Snehasindhooram,null,Add a Plot,Krishnan Munnadu,"['Ambika', 'Ponnamma Babu', 'Devan', 'Keerthi Gopinath']"
Adukkala Rahasyam Angaadi Paattu,null,Add a Plot,Nisar,"['Geetha', 'Philomina', 'Jagathy Sreekumar', 'Vijayaraghavan']"
Kaduva Thomas,null,Add a Plot,Malayatoor Surendran,"['Abhilasha', 'Karan', 'P.K. Abraham', 'Mala Aravindan']"
Poomarathanalil,null,Add a Plot,Muralidharan,"['Anju', 'Sreenivasa Varma', 'Kollam Ajith', 'Lenin Anirudhan']"
Fashion Parade,null,Add a Plot,P.K. Radhakrishnan,"['Saikumar', 'M.G. Soman', 'Sudheesh']"
Kaalapani,"Action, Drama, History","Govardhan, a doctor by profession, is wrongly accused of bombing a train and is jailed by the British in Cellular Jail, also known as Kala Pani, in the Andaman and Nicobar Islands. He witnesses the sufferings of hundreds of Indian prisoners there.",Priyadarshan,"['Mohanlal', 'Amrish Puri', 'Prabhu', 'Tabu']"
Hitler,"Action, Comedy, Drama",The story of a protective brother and his five sisters.,Siddique,"['Mammootty', 'Mukesh', 'Shobana', 'Jagadish']"
Azhakiya Ravanan,"Comedy, Drama",A millionaire (Mammootty) returns to his village without disclosing who he was in the village.,Kamal,"['Mammootty', 'Sreenivasan', 'Bhanupriya', 'Biju Menon']"
Devaraagam,"Drama, Romance",Vishnu and Lakshmi fall in love. But Lakshmi's father accepts a wedding proposal against her wish.,Bharathan,"['Arvind Swami', 'Sridevi', 'Nedumudi Venu', 'K.P.A.C. Lalitha']"
Yuvathurki,"Action, Thriller",The film revolves around the political scenario of Indian politics in the mid nineties. The protagonist played by Suresh Gopi who seeks revenge for his girlfriend's murder and bringing out ...See full summary»,Bhadran,"['Suresh Gopi', 'Vijayshanti', 'Rajan P. Dev', 'Geetha']"
Pallivathuckal Thommichan,Drama,Add a Plot,Sandhya Mohan,"['Manoj K. Jayan', 'Rajan P. Dev', 'Anusha', 'Silk Smitha']"
KL 7/95 Ernakulam North,null,Add a Plot,Paulson,"['Shammi Thilakan', 'Anusha', 'Mala Aravindan', 'Idavela Babu']"
Mr. Clean,"Comedy, Drama",Mahadevan is promised to be married to Nandini by his uncle in exchange for ownership of his hospital in her name. But secretly his uncle wants her to marry Mukesh who he thinks is a real doctor but is otherwise.,Vinayan,"['Mukesh', 'Sreenivasan', 'Devayani', 'Annie']"
Man of the Match,null,"A Christian priest strives to raise two orphans, Raju and Jimmy, on his own. Most of his struggles arise from the fact that he has financial issues.",Joshy Mathew,"['Biju Menon', 'Vani Viswanath', 'Ratheesh', 'Sphadikam George']"
Indraprastham,"Crime, Thriller","Paul, a phony politician commits a murder and leaks out the video by morphing a famous actor Kiran's face onto it. When Chitra, a journalist, finds out about it, she sets out to reveal the truth.",K.K. Haridas,"['Mammootty', 'Simran', 'Devan', 'Vikram']"
Desadanam,Drama,The emotional pangs a child and his parents go through when his grandfather agrees to him being selected to be the head of a genuine and distinguished Matha.,Jayaraj,"['Master Kumar', 'Vijayaraghavan', 'Mini Nair', 'Unnikrishnan Nampoothiri']"
Nandagopalante Kusruthikal,"Comedy, Drama",Add a Plot,Nisar,"['Harisree Ashokan', 'Paravoor Bharathan', 'Byon', 'Chempakam']"
Kireedamillatha Rajakkanmar,Comedy,Six con artists join forces together.,Ansar Kalabhavan,"['Jagadish', 'Prem Kumar', 'Annie', 'Jagathy Sreekumar']"
Ee Puzhayum Kadannu,"Drama, Romance, Thriller","Anjali hates Gopi but eventually falls in love with him. However, she is unable to marry him as she has two sisters who are still single.",Kamal,"['Dileep', 'Manju Warrier', 'Biju Menon', 'N.F. Varghese']"
Mimics Super 1000,null,"Gopika, who owns a huge ancestral property, lives alone with her mother. Gopika joins a mimics troupe incognito to escape from a gang of four brothers who want to steal their property.",Balu Kiriyath,"['Jagadish', 'Anusha', 'Janardanan', 'Sainuddin']"
Mookkilla Rajyathu Murimookkan Rajavu,Drama,"Three unemployed bachelors go in search of a house. A man allows them to stay with him until they get a place, but things turn topsy-turvy when they get involved in the family issues of this man.",Sasi Mohan,"['Manoj K. Jayan', 'Prem Kumar', 'Nandu', 'Annie']"
Sthreeku Vendi Sthree,null,Add a Plot,Prem,"['Harish', 'Ravi Menon', 'Shari', 'Sudheer']"
Kinnam Katta Kallan,"Comedy, Drama",Two police officers (Jagadish & Sreenivasan) compete against each other to win the heart of a girl.,K.K. Haridas,"['Jagadish', 'Sreenivasan', 'Mala Aravindan', 'Devayani']"
Udyanapalakan,"Drama, Romance","Sudhakaran, an ex-army man, returns to his hometown and is disgruntled by the attitude of the villagers. He falls in love with a young girl who frequently steals flowers from his beloved garden.",Harikumar,"['Beena Antony', 'Ponnamma Babu', 'Meena Ganesh', 'Cochin Hanifa']"
Kaliveedu,"Comedy, Drama","Mahesh, a perfectionist, and his wife, a carefree woman, decide to live separately. Mahesh tries to start a new life with another woman, but he realizes his love towards his wife.",Sibi Malayil,"['Jayaram', 'Manju Warrier', 'Vani Viswanath', 'Jagadish']"
Thooval Kottaram,"Comedy, Drama, Romance","When Mohanachandran helps a depressed Devaprabha start life anew, problems arise between him and his fiancee, Sujatha.",Sathyan Anthikad,"['Jayaram', 'Manju Warrier', 'Sukanya', 'Murali']"
Kumkumacheppu,"Comedy, Drama","Indu, who is doubtful about everything, gets married to Madhu. Soon, she begins to believe that he has intimate relationships with several women.",Thulasidas,"['Jagadish', 'Manoj K. Jayan', 'K.P.A.C. Lalitha', 'Narendra Prasad']"
Manthrika Kuthira,Thriller,Sunny Kuruvilla is a famous novelist and a public prosecutor who has a dark side. Police officer Venugopal tries to expose his evil deeds.,Viji Thampi,"['Lalu Alex', 'Dileep', 'Indrans', 'Janardanan']"
Aayiram Naavulla Ananthan,Drama,"Nandakumar and Anantha Padmanabhan are doctors who live with Ananthan's mother. Nandakumar happens to administer a wrong treatment to one of his patients. Later, Ananthan tries to save the ...See full summary»",Thulasidas,"['Mammootty', 'Murali', 'Gautami', 'Madhavi']"
Madamma,"Comedy, Drama",Add a Plot,Sarjulan,"['Sreenivasan', 'Archana', 'Jagathy Sreekumar', 'Mammukoya']"
Padanayakan,"Action, Comedy","A police case forces Pappan and his brother to leave their home. They seek refuge in a village. However, their problems are far from over.",Nisar,"['Vijayaraghavan', 'Dileep', 'K.P.A.C. Lalitha', 'Chippy']"
Sulthan Hyderali,null,Add a Plot,Balu Kiriyath,"['Baiju', 'Anusha', 'Chempakam', 'Indrans']"
The Prince,"Action, Thriller","Jeeva, the son of a don, falls in love with Swarna, daughter of a famous Carnatic singer. However, he chooses to hide the truth about his family background to win her love.",Suresh Krishna,"['Mohanlal', 'Girish Karnad', 'Prema', 'Prakash Raj']"
Sallapam,"Drama, Musical, Romance","Radha and Sasikumar fall in love with each other. However, her life takes a turn when he refuses to marry her because of his family problems.",Sundardas,"['Dileep', 'Manju Warrier', 'Manoj K. Jayan', 'Bindu Panikkar']"
Kanakkinavu,Drama,The film discusses a father's unability to grow his children due to the rreason that their mother is no more. Mukesh's character wants his children to grow up with both love of father amd ...See full synopsis»,Sibi Malayil,"['Murali', 'Meena Ganesh', 'Mohini', 'Mukesh']"
Excuse Me Ethu Collegila,Comedy,Two friends Premkumar and Kalabhavan Mani set out into the city to make it big. They loose their initial jobs and decide to go into the real estate business. A mysterious girl comes into ...See full summary»,Mohanroop,"['Prem Kumar', 'Kalabhavan Mani', 'Innocent Vareed Thekkethala', 'Mala Aravindan']"
King Solomon,null,"Ambika Nair and her brother Mahadevan are business tycoons. Ambika Nair doesn't have a heir and hence her life is at risk. Mahadevan, hires a petty thief Solomon, to acts as Ambika Nair's heir.",Balu Kiriyath,"['Rahman', 'Sheeba Agarwal', 'Mala Aravindan', 'Augustine']"
Kathapurushan,"Biography, Drama","Against the history of Kerala, we see a young man grow up without a father, relate to the working class people employed in his feudal household, become an intellectual, land in prison, and find a cure for the stuttering that afflicts him.",Adoor Gopalakrishnan,"['Vishwanathan', 'Mini Nair', 'Aranmulla Ponnamma', 'Urmila Unni']"
Swapna Lokathe Balabhaskaran,"Comedy, Drama, Romance","A womanizer with sleep walking issues gets married to a young girl, who starts to hate him after knowing him more.",Rajasenan,"['Jayaram', 'Annie', 'Dileep', 'Paravoor Ramachandran']"
